計畫年度,主持人姓名,執行機關,內容
113,Lueder,國立中山大學材料與光電科學學系,"計畫名稱：利用光和扭曲技術對抗奈米塑料(1/3)成果報告：此為多年期計畫，於全程計畫結束後公開成果報告執行起迄：2024/08/01~2025/07/31總核定金額：1,145,000元(各年度經費明細)計畫概述：This project addresses current issues in removing nanoplastics from our environment, and making ...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Lueder,國立中山大學材料與光電科學學系,"計畫名稱：有機光伏材料在界面上的角色：缺陷與光降解的影響成果報告：未達繳交期限執行起迄：2024/01/01~2026/12/31總核定金額：936,000元(各年度經費明細)計畫概述：The conversion of energy from solar radiation (i.e. sunlight) to electricity is one of the mos...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Magioncalda,臺北醫學大學國際醫學研究博士學位學程,"計畫名稱：邁向雙極性疾患的病理生理學之機械論模式成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：3,900,000元(各年度經費明細)計畫概述：The proposed project aims to build a mechanistic model of the pathophysiology of bipolar disorde...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Martino,臺北醫學大學心智意識與腦科學研究博士學位學程,"計畫名稱：憂鬱症中情感及其生物學相關性之多重模式探討成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：4,410,000元(各年度經費明細)計畫概述：The proposed project aims to investigate and characterize affectivity and its biological correla...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Mohammadreza Lak,元智大學電機工程學系（所）,"計畫名稱：雙並聯三電平T型逆變器基於載波的調變方法研究成果報告：執行起迄：2024/01/01~2024/12/31總核定金額：1,032,000元(各年度經費明細)計畫概述：The objective of this research proposal is to investigate the carrier-based implementation of in...(詳)中文關鍵字：雙並聯配置、三電平T型逆變器（3LTIs）、基於載波的PWM、同步PWM、交錯PWM、集成PWM英文關鍵字：Dual-parallel configuration, Three-level T-type inverters (3LTIs), Carrier-based PWM, Synchronous PWM, Interleaved PWM, Integrated PWM中文摘要：全球對能源需求的增加引起了對高功率電子逆變器的更大關注。這一趨勢促進了雙並聯三電平T型逆變器（3LTIs）配置的發展。雙並聯3LTIs的控制可以有效地使用同步、交錯和集成脈寬調製（PWM）技術...(詳)英文摘要：The increasing global demand for energy has brought greater attention to high-power electronic inverters. This trend has spurred the development of dual-parallel three-level T-type inverters (3LTI...(詳)"
113,Mukta Sharma,國立勤益科技大學前瞻電資科技研究所,"計畫名稱：先進口腔癌檢測技術：用於定量分析口腔癌生物標誌物的鰭狀高電子遷移率電晶體感測器(FinHEMT sensor)開發與基於拉曼光譜法之深度學習成果報告：未達繳交期限執行起迄：2024/10/01~2026/09/30總核定金額：2,440,000元(各年度經費明細)計畫概述：This project introduces the design and development of a Fin-based High-Electron Mobility Transis...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Naeem,元智大學資訊學院英語學士班,"計畫名稱：以人工智慧為基礎的智慧自主機器人垃圾箱揀選成果報告：執行起迄：2024/04/01~2025/06/30總核定金額：1,040,000元(各年度經費明細)計畫概述：Our project's main goal is to create and deploy a state-of-the-art intelligent artificial intell...(詳)中文關鍵字：箱內拾取

機器人操作

三維物體偵測

單目深度估計

物體分割

實例分割

姿態估計

軌跡優化英文關鍵字：Bin Picking
Robotic Manipulation
3D Object Detection
Monocular Depth Estimation
Object Segmentation
Instance Segmentation
Pose Estimation
Trajectory Optimization中文摘要：我們提出了一套基於人工智慧的箱內拾取系統，專為複雜環境設計，使機器人能夠辨識物體並將其放置到指定位置或容器中。目前市面上已有的系統雖然能夠執行各種任務，但多數依賴昂貴的感測器，且其演算法在準確...(詳)英文摘要：We proposed an AI-based bin picking system designed for complex environments where the robot has to identify the objects and put it in a required place or bin. The currently available systems are ...(詳)"
113,Nitika Devi,國立中正大學精密模具研究中心,"計畫名稱：高溫質子交換膜燃料電池之雙離子導電聚苯並咪唑複合膜之開發成果報告：執行起迄：2024/01/01~2024/10/31總核定金額：922,000元(各年度經費明細)計畫概述：This project deals with the development of PBI-based composite electrolyte material for fuel cel...(詳)中文關鍵字：燃料電池、碳酸鹽共晶混合物、複合膜、PBI英文關鍵字：Fuel cell, carbonates eutectic mixture, composite membranes, PBI中文摘要：燃料電池是一種以氫和氧為代價，以水為原料產生能量的裝置。
反應的副產物。燃料電池在從化石燃料轉型為能源的過程中發揮重要作用
再生能源發電。燃料電池的主要好處包括無排放能源生產
且裝置效率...(詳)英文摘要：A fuel cell is a device that generates energy at the expense of hydrogen and oxygen, with water as a
byproduct of the reaction. Fuel cells can play an essential part in the transition from fossil...(詳)"
113,Oguz,國立清華大學數學系（所）,"計畫名稱：近全純德林費爾模型之幾何詮釋和它們在CM點的特殊值成果報告：未達繳交期限執行起迄：2024/08/16~2027/08/15總核定金額：748,000元(各年度經費明細)計畫概述：若此計畫可成功，將是正特徵的志村理論一個重要進展。中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Philip X. Fuchs,國立臺灣師範大學體育與運動科學系,"計畫名稱：赤足與穿鞋之生物力學：短跑的暖身策略成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：1,727,000元(各年度經費明細)計畫概述：The objectives of this research are to investigate 1) the effects of different footwear conditio...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,SHUNSUKE CHIKUMA,國立清華大學生物科技研究所,"計畫名稱：瞄準癌症免疫治療中的染色質調控因子TRIM28成果報告：執行起迄：2024/09/01~2025/10/31總核定金額：1,570,000元(各年度經費明細)計畫概述：Cancer affects nearly half population over their lifetime, highlighting the necessity for advanc...(詳)中文關鍵字：免疫耐受, 抗腫瘤免疫, 表觀基因組學, 免疫治療, T 淋巴細胞英文關鍵字：Immunotolerance, anticancer immunity, epigenomics, immunotherapy, T lymphocytes中文摘要：癌症免疫治療的一個重要未解問題在於，其療效在已核准癌種中的不確定性，以及在未核准癌種中的適用性限制。由於腫瘤內較強的先天免疫反應可募集免疫細胞（如 T 細胞）並促進對癌細胞的攻擊，因此，人工誘...(詳)英文摘要：An open question in cancer immunotherapy is uncertainty of its effectiveness in approved cancer types and limitations in applicability in non-approved cancer. Efforts to artificially induce inflam...(詳)"
113,Stantchev Rayko Ivanov,國立中山大學物理學系（所）,"計畫名稱：使用非侵入性影像技術研究皮膚結構和水合動態(1/3)成果報告：此為多年期計畫，於全程計畫結束後公開成果報告執行起迄：2024/08/01~2025/07/31總核定金額：1,324,000元(各年度經費明細)計畫概述：Terahertz imaging and Optical Coherence Tomography have shown potential in identifying many skin...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Tapia Arroyo Raul Ivan,國立臺灣大學海洋研究所,"計畫名稱：解析南大洋在中布容期事件(MBE)期間對大氣CO2變化的貢獻(1/3)成果報告：此為多年期計畫，於全程計畫結束後公開成果報告執行起迄：2024/08/01~2025/10/31總核定金額：700,000元(各年度經費明細)計畫概述：The primary goals of this project are:
1.	Generate the first surface and subsurface records of ...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Van Tien Nguyen,國立臺灣大學數學系暨研究所,"計畫名稱：源自生物和物理科學的偏微分方程中奇點的相干結構(2/4)成果報告：此為多年期計畫，於全程計畫結束後公開成果報告執行起迄：2024/08/01~2025/07/31總核定金額：1,166,000元(各年度經費明細)計畫概述：本研究計劃將發展新穎的想法和方法來研究相關非線性 偏微分方程中的奇點，包括工程、生物和物理過程中出現的真實世界模型的奇點。此研究計劃還將解決被視為當前 偏微分方 研究前沿重要懸而未決的問題，此...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Vinitha Mariyappan,國立中正大學精密模具研究中心,"計畫名稱：經濟可行的強韌新穎電極材料的結構設計以增進析氫反應成果報告：執行起迄：2024/09/01~2025/08/31總核定金額：981,000元(各年度經費明細)計畫概述：Our research into a new electrocatalyst for the HER advances understanding in electrochemistry a...(詳)中文關鍵字：電荷轉移電阻、計時電流法、水熱法、線性掃描伏安法、協同效應英文關鍵字：Charge transfer resistance, Chronoamperometry, Hydrothermal, Linear sweep voltammetry, Synergistic effect中文摘要：三元硫化物因其結構可調性、儲量豐富的組成以及多金屬中心間潛在的協同效應，已成為極具潛力的非貴金屬析氫電催化劑。本研究採用簡單的水熱法合成了一種NiCoMnS電催化劑，並將其直接負載到絲網印刷碳...(詳)英文摘要：Trimetallic sulfides have emerged as promising non-noble-metal electrocatalysts for hydrogen evolution owing to their structural tunability, earth-abundant composition, and the potential synergist...(詳)"
113,WARANGKANA LIN,義守大學國際學院國際管理碩士班,"計畫名稱：解碼國際學校華人華語教師身份認同與動態身份形成：香港、泰國和美國的比較研究成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：2,270,000元(各年度經費明細)計畫概述：台灣透過政府的各項措施與努力，逐步成為一個內含多元文化與語言的地球村，而語言與國際課程的拓展更造就了兼容並蓄的社會。因此，國際學校和提供國際課程的中小學在過去三年中顯著增加。儘管有充分證據顯示...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Yosef Nikodimos Asgedom,國立臺灣科技大學永續電化學能源發展中心,"計畫名稱：提升鋰硫電池技術：克服Li2S正極材料中的挑戰，以提升性能和穩定性成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,300,000元(各年度經費明細)計畫概述：Advanced energy storage systems with both high energy density and high performance remain elusiv...(詳)中文關鍵字：鋰–硫電池；Li₂S 活化；多硫化物穿梭；路易士酸；凝膠高分子電解質；高供體數；單原子催化劑；Ni–N₄；吡啶型氮；限域；轉化動力學英文關鍵字：Lithium-sulfur battery; Li2S activation; polysulfide shuttling; Lewis acid; gel polymer electrolyte; high donor number; single-atom catalyst; Ni-N4; pyridinic-N; confinement; conversion kinetics.中文摘要：本計畫以路易士酸為核心之策略，結合理論機制釐清與材料設計，針對鋰–硫（Li-S）電池中的多硫化鋰（LiPS）穿梭效應進行抑制。我們首先運用多模態 operando 工具組（TXM、operan...(詳)英文摘要：This project targeted the suppression of polysulfide (LiPS) shuttling in lithium–sulfur (Li-S) batteries through Lewis-acid-centered strategies, combining mechanistic discovery with materials desi...(詳)"
113,sakthi,國立臺北科技大學材料及資源工程系,"計畫名稱：三維結構MXene與過渡金屬氧化物纖維複合材料應用於水分解：析氫反應(HER)與析氧反應(OER)成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,400,000元(各年度經費明細)計畫概述：金屬空氣電池、液流電池及燃料電池為當前期望用於解決能源危機及相關的世界環境的解決方案之一。這些技術的關鍵在於析氫反應(HER)與析氧反應(OER)。HER及OER是大規模生產氫與氧的重要製程瓶...(詳)中文關鍵字：MXene; Pr₂(WO₄)₃, CuCrO₂, CuYO₂, CuInO₂, 電催化劑; 水分解英文關鍵字：MXene; Pr₂(WO₄)₃, CuCrO₂, CuYO₂, CuInO₂, Electrocatalysis; Water splitting中文摘要：本研究利用含有MXene(TiC₂Tₓ)修飾並結合銅基赤銅鐵礦複合氧化物的網版印刷碳電極(SPCE)，所使用之材料包括：Pr₂(WO₄)₃、CuCrO₂、CuYO₂、CuInO₂、MnCO₃、...(詳)英文摘要：In this study, a screen-printed carbon electrode (SPCE) modified with MXene (TiC₂Tₓ), incorporating copper-based delafossite complexes, namely Pr₂(WO₄)₃, CuCrO₂, CuYO₂, CuInO₂, MnCO₃, Bi₂MoO₆, CoF...(詳)"
113,vijayakameswara rao,臺北醫學大學新藥研發產業博士學位學程,"計畫名稱：具RGD及組織蛋白去乙醯酶(HDAC)抑制劑長春西汀側基之RAFT共聚高分子 --新穎抗癌藥物傳遞系統用於乳癌治療之開發成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,266,000元(各年度經費明細)計畫概述：The number of people diagnosed with cancer in developed countries is estimated at 12 million. Ch...(詳)中文關鍵字：RAFT 高分子、HDAC 抑制劑、ROS 響應釋放、主動靶向配體英文關鍵字：RAFT polymers, HDAC inhibitors, ROS responsive release, Active targeting ligand.中文摘要：本研究探討一種創新的乳癌藥物遞送系統之開發。該系統結合組蛋白去乙醯化酶抑制劑（HDAC inhibitors, HDACi）與活性氧（ROS）反應化合物 4-(Hydroxymethyl)ph...(詳)英文摘要：This study explores the development of an innovative drug delivery system for breast cancer treatment. This system integrates HDAC inhibitors (HDACi) with a ROS-responsive compound, 4-(Hydroxymeth...(詳)"
113,丁一賢,國立高雄大學資訊管理學系（所）,"計畫名稱：社群嵌入及字詞嵌入技術於社群機器人偵測之研究成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：620,000元(各年度經費明細)計畫概述：本研究計畫預期能夠設計一個準確判斷社群機器人的方法，研究結果期望可以降低社群機器人所造成的負面效果，例如影響輿論與政治，加速不實資訊與假新聞流傳，降低社群平台的信賴度，網路霸凌…等。中文關鍵字：神經網路, 社群機器人, 文字嵌入, 社群嵌入, 時間特徵英文關鍵字：Neural Networks, Social Bots, Word Embedding, Social Embedding, Temporal Features中文摘要：社群媒體的快速擴張導致社群機器人（social bots）大量出現，這些機器人操縱輿論並散布錯誤資訊。為了解決此問題，本研究提出一種新穎的深度學習模型，利用神經網路技術並考慮社群資料中的時間特...(詳)英文摘要：The proliferation of social media has led to a surge in social bots that manipulate public opinion and spread misinformation. To address this issue, we propose a novel deep learning model for soci...(詳)"
113,丁望賢,國立中央大學化學學系,"計畫名稱：新興吸附劑磁性金屬有機骨架材料的”綠色”製備與其在分析化學應用之研究成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,450,000元(各年度經費明細)計畫概述：建立合乎綠色化學原則，製備適當的具磁性金屬有機骨架材料，以作為在微萃取上具有快速、方便及多重作用特性的新興吸附劑，同時建立並提升現代化檢測儀器的應用層面，培育對綠色樣品前處理，及現代化檢測儀器...(詳)中文關鍵字：磁性金屬有機骨架材料、二苯基甲酮類化合物、磁性分散式微固相萃取法、超高效液相層析串聯質譜儀、水樣檢測。英文關鍵字：Magnetic metal-organic frameworks; Benzophenone-type UV filters; Magnetic dispersive micro solid phase extraction; UHPLC-ESI-QTOF-MS; Water analysis.中文摘要：本研究開發一種簡單、快速、方便、消耗較少量吸附材料、不須離心機械力輔助，且對環境友善的檢驗方法，用於檢測環境水樣中五種紫外線過濾劑 (UV filters) 二苯基甲酮類化合物 (Benzop...(詳)英文摘要：This study developed an efficient, and environmental-friendly analytical method for the determination of five frequently found benzophenone-type ultraviolet filters (BP-UVFs) in our aquatic enviro...(詳)"
113,丁初稷,國立中正大學精密模具研究中心,"計畫名稱：研究硫化銦奈米帶與二維氮化鎢（In2S3 / 2D-WN）複合材料在光導體元件中的光電特性與在光催化析氫反應中的應用成果報告：執行起迄：2024/08/01~2025/12/31總核定金額：743,000元(各年度經費明細)計畫概述：本研究旨在開發 In2S3 奈米帶 / 2D-WN / SiO2-Si的光導體光偵測器元件以及光催化析氫元件，主要目標是製造能夠偵測波長在 300 - 700 nm 範圍內的紫外光和可見光的光...(詳)中文關鍵字：電催化析氫反應、硫化銦奈米帶、石墨烯複合材料、二維二硫化鉬、光電催化、Tafel 斜率英文關鍵字：Electrocatalytic hydrogen evolution reaction (HER)、Indium sulfide nanobelts (In₂S₃ nanobelts)、Graphene-based composites、Two-dimensional molybdenum disulfide (2D-MoS₂)、Photoelectrocatalysis、Tafel slope中文摘要：傳統貴金屬催化劑如鉑 (Pt) 雖具有優異的析氫活性，但受限於高成本與稀缺性，難以大規模應用。因此，開發具高效能、低成本且穩定之非貴金屬電催化材料已成為目前氫能研究的重要方向。本研究針對硫化銦...(詳)英文摘要：Traditional noble-metal catalysts such as platinum (Pt) possess excellent hydrogen evolution activity, but their large-scale application is limited by high cost and low abundance. Therefore, the d...(詳)"
